,id,name,type,description
0,7658,Project Starfall Demonstration Mission,Technology,"Note: Mission profile and payload details are TBD.

Demonstration mission for SpaceX’s Project Starfall, which aims to mass-produce reentry capsules designed to autonomously transport valuable customer experiments and other payloads safely back from space to Earth, including for in-orbit manufacturing. 

Starfall is a cylindrical shaped capsule approximately 0.75 meters tall with a diameter of 3.1 meters, weighing approximately 2100 kilograms, and capable of carrying 1000 kilograms of payload. It is designed to be carried on Starship flights."
1,6301,EscaPADE,Planetary Science,"Second flight of Blue Origin's New Glenn launch vehicle carrying the Escape and Plasma Acceleration and Dynamics Explorers (EscaPADE), a dual-spacecraft mission from University of California, Berkeley to study ion and sputtered escape from Mars. The spacecrafts' scientific goals are to understand the processes controlling the structure of Mars' hybrid magnetosphere and how it guides ion flows; understand how energy and momentum are transported from the solar wind through Mars' magnetosphere; and understand the processes controlling the flow of energy and matter into and out of the collisional atmosphere."
2,6301,EscaPADE,Planetary Science,"Second flight of Blue Origin's New Glenn launch vehicle carrying the Escape and Plasma Acceleration and Dynamics Explorers (EscaPADE), a dual-spacecraft mission from University of California, Berkeley to study ion and sputtered escape from Mars. The spacecrafts' scientific goals are to understand the processes controlling the structure of Mars' hybrid magnetosphere and how it guides ion flows; understand how energy and momentum are transported from the solar wind through Mars' magnetosphere; and understand the processes controlling the flow of energy and matter into and out of the collisional atmosphere."
3,6218,ViaSat-3 F3 (ViaSat-3 Asia-Pacific),Communications,"The ViaSat-3 is a series of three Ka-band satellites is expected to provide vastly superior capabilities in terms of service speed and flexibility for a satellite platform. Each ViaSat-3 class satellite is expected to deliver more than 1-Terabit per second of network capacity, and to leverage high levels of flexibility to dynamically direct capacity to where customers are located."
4,7402,Swift Boost Mission,Mission Extension,"Contracted by NASA under the Small Business Innovation Research Phase 3 contract, Katalyst Space Technologies' LINK servicing spacecraft will rendezvous and attach to NASA’s Neil Gehrels Swift Observatory to re-boost its orbit. This aims to demonstrate a key capability for the future of space exploration and extending the Swift mission’s science lifetime in gamma ray astronomy."
5,6309,Solar wind Magnetosphere Ionosphere Link Explorer (SMILE),Astrophysics,Joint mission between the European Space Agency and the Chinese Academy of Sciences to investigate the interaction between Earth’s protective shield – the magnetosphere – and the supersonic solar wind.
6,6255,Sentinel-6B,Earth Science,"The Sentinel-6 Michael Freilich (launched  November 2020) and Sentinel-6B make up the Sentinel-6 mission, also known as Jason Continuity of Service (Jason-CS), which is a partnership between NASA, NOAA, ESA, and EUMETSAT. This mission continues the long-term global sea surface height data record begun by first Jason satellites in 1992."
7,7022,CO3D & MicroCarb,Earth Science,CO3D is a CNES-Airbus Defence & Space constellation of four small satellites designed to map the globe in 3D from low Earth to serve public and private sector needs. Microcarb is a small satellite designed to map sources and sinks of carbon dioxide (CO2)—the most important greenhouse gas — on a global scale.
8,5920,Metop-SG A1,Earth Science,First of EUMETSAT's second generation of Metop weather satellites.
9,6105,Nancy Grace Roman Space Telescope,Astrophysics,"The Nancy Grace Roman Space Telescope is a NASA infrared space telescope with a 2.4 m (7.9 ft) wide field of view primary mirror and two scientific instruments. The Wide-Field Instrument (WFI) is a 300.8-megapixel multi-band visible and near-infrared camera, providing a sharpness of images comparable to that achieved by the Hubble Space Telescope over a 0.28 square degree field of view, 100 times larger than imaging cameras on the Hubble. The Coronagraphic Instrument (CGI) is a high-contrast, small field of view camera and spectrometer covering visible and near-infrared wavelengths using novel starlight-suppression technology. Roman objectives include a search for extra-solar planets using gravitational microlensing, and probing the expansion history of the Universe and the growth of cosmic structure, with the goal of measuring the effects of dark energy, the consistency of general relativity, and the curvature of spacetime."
